"filename", "language", "JSON", "JSON with Comments", "TypeScript", "TypeScript JSX", "JavaScript", "SCSS", "HTML", "SVG", "Log", "comment", "blank", "total"
"e:\taroDemos\cloudmate\__tests__\index.test.js", "JavaScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 4, 13
"e:\taroDemos\cloudmate\babel.config.js", "JavaScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 1, 11
"e:\taroDemos\cloudmate\config\dev.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"e:\taroDemos\cloudmate\config\index.ts", "TypeScript", 0, 0, 100, 0, 0, 0, 0, 0, 0, 4, 2, 106
"e:\taroDemos\cloudmate\config\prod.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 26, 1, 33
"e:\taroDemos\cloudmate\i18n\base.json", "JSON", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"e:\taroDemos\cloudmate\jest.config.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"e:\taroDemos\cloudmate\package.json", "JSON", 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 104
"e:\taroDemos\cloudmate\project.config.json", "JSON", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37
"e:\taroDemos\cloudmate\project.miniapp.json", "JSON", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65
"e:\taroDemos\cloudmate\project.private.config.json", "JSON", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"e:\taroDemos\cloudmate\project.tt.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"e:\taroDemos\cloudmate\src\apis\attendance.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 5, 14
"e:\taroDemos\cloudmate\src\apis\auth.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"e:\taroDemos\cloudmate\src\apis\request.ts", "TypeScript", 0, 0, 42, 0, 0, 0, 0, 0, 0, 1, 12, 55
"e:\taroDemos\cloudmate\src\app.config.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 1, 21
"e:\taroDemos\cloudmate\src\app.scss", "SCSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"e:\taroDemos\cloudmate\src\app.tsx", "TypeScript JSX", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 5, 42
"e:\taroDemos\cloudmate\src\assets\icon\company-active.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"e:\taroDemos\cloudmate\src\assets\icon\company.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"e:\taroDemos\cloudmate\src\assets\icon\folder-active.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"e:\taroDemos\cloudmate\src\assets\icon\folder.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"e:\taroDemos\cloudmate\src\assets\icon\group-active.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"e:\taroDemos\cloudmate\src\assets\icon\group.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"e:\taroDemos\cloudmate\src\assets\icon\loader.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"e:\taroDemos\cloudmate\src\assets\icon\map.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"e:\taroDemos\cloudmate\src\assets\icon\search.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"e:\taroDemos\cloudmate\src\assets\icon\settings-active.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"e:\taroDemos\cloudmate\src\assets\icon\settings.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"e:\taroDemos\cloudmate\src\assets\icon\time.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"e:\taroDemos\cloudmate\src\assets\icon\user-active.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"e:\taroDemos\cloudmate\src\assets\icon\user.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"e:\taroDemos\cloudmate\src\components\auth\index.tsx", "TypeScript JSX", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 6, 32
"e:\taroDemos\cloudmate\src\components\fade-in\index.tsx", "TypeScript JSX", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 7, 32
"e:\taroDemos\cloudmate\src\components\float-indicator\index.module.scss", "SCSS", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 3, 28
"e:\taroDemos\cloudmate\src\components\float-indicator\index.tsx", "TypeScript JSX", 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 15, 86
"e:\taroDemos\cloudmate\src\components\loading\index.module.scss", "SCSS", 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 2, 16
"e:\taroDemos\cloudmate\src\components\loading\index.tsx", "TypeScript JSX", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 3, 9
"e:\taroDemos\cloudmate\src\components\tab-bar\constants.ts", "TypeScript", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 4, 57
"e:\taroDemos\cloudmate\src\components\tab-bar\index.config.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"e:\taroDemos\cloudmate\src\components\tab-bar\index.module.scss", "SCSS", 0, 0, 0, 0, 0, 77, 0, 0, 0, 3, 10, 90
"e:\taroDemos\cloudmate\src\components\tab-bar\index.tsx", "TypeScript JSX", 0, 0, 0, 68, 0, 0, 0, 0, 0, 2, 11, 81
"e:\taroDemos\cloudmate\src\components\time-line\index.module.scss", "SCSS", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 4, 34
"e:\taroDemos\cloudmate\src\components\time-line\index.tsx", "TypeScript JSX", 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 17, 89
"e:\taroDemos\cloudmate\src\hooks\swipe-navigation.ts", "TypeScript", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 7, 57
"e:\taroDemos\cloudmate\src\hooks\switch-tab.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 5, 24
"e:\taroDemos\cloudmate\src\hooks\time.ts", "TypeScript", 0, 0, 39, 0, 0, 0, 0, 0, 0, 1, 8, 48
"e:\taroDemos\cloudmate\src\index.html", "HTML", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 1, 18
"e:\taroDemos\cloudmate\src\pages\company\index.module.scss", "SCSS", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"e:\taroDemos\cloudmate\src\pages\company\index.tsx", "TypeScript JSX", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 5, 26
"e:\taroDemos\cloudmate\src\pages\company\views\attendance\components\atd-button\index.module.scss", "SCSS", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 1, 13
"e:\taroDemos\cloudmate\src\pages\company\views\attendance\components\atd-button\index.tsx", "TypeScript JSX", 0, 0, 0, 50, 0, 0, 0, 0, 0, 2, 8, 60
"e:\taroDemos\cloudmate\src\pages\company\views\attendance\components\atd-record\index.module.scss", "SCSS", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 4, 44
"e:\taroDemos\cloudmate\src\pages\company\views\attendance\components\atd-record\index.tsx", "TypeScript JSX", 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 15, 98
"e:\taroDemos\cloudmate\src\pages\company\views\attendance\context.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"e:\taroDemos\cloudmate\src\pages\company\views\attendance\index.module.scss", "SCSS", 0, 0, 0, 0, 0, 46, 0, 0, 0, 3, 5, 54
"e:\taroDemos\cloudmate\src\pages\company\views\attendance\index.tsx", "TypeScript JSX", 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 9, 82
"e:\taroDemos\cloudmate\src\pages\file\index.module.scss", "SCSS", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"e:\taroDemos\cloudmate\src\pages\file\index.tsx", "TypeScript JSX", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 4, 28
"e:\taroDemos\cloudmate\src\pages\group\components\contacts\index.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\taroDemos\cloudmate\src\pages\group\components\contacts\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\taroDemos\cloudmate\src\pages\group\components\header\index.module.scss", "SCSS", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"e:\taroDemos\cloudmate\src\pages\group\components\header\index.tsx", "TypeScript JSX", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 6, 41
"e:\taroDemos\cloudmate\src\pages\group\components\search-bar\index.module.scss", "SCSS", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 3, 19
"e:\taroDemos\cloudmate\src\pages\group\components\search-bar\index.tsx", "TypeScript JSX", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 3, 17
"e:\taroDemos\cloudmate\src\pages\group\index.module.scss", "SCSS", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"e:\taroDemos\cloudmate\src\pages\group\index.tsx", "TypeScript JSX", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 4, 29
"e:\taroDemos\cloudmate\src\pages\index\index.module.scss", "SCSS", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"e:\taroDemos\cloudmate\src\pages\index\index.tsx", "TypeScript JSX", 0, 0, 0, 36, 0, 0, 0, 0, 0, 11, 5, 52
"e:\taroDemos\cloudmate\src\pages\login\index.module.scss", "SCSS", 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 9, 70
"e:\taroDemos\cloudmate\src\pages\login\index.tsx", "TypeScript JSX", 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 6, 86
"e:\taroDemos\cloudmate\src\pages\profile\index.module.scss", "SCSS", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"e:\taroDemos\cloudmate\src\pages\profile\index.tsx", "TypeScript JSX", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 4, 24
"e:\taroDemos\cloudmate\src\pages\test\index.tsx", "TypeScript JSX", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"e:\taroDemos\cloudmate\src\store\index.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 4, 20
"e:\taroDemos\cloudmate\src\store\reducers\attandence.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 6, 33
"e:\taroDemos\cloudmate\src\store\reducers\auth.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"e:\taroDemos\cloudmate\src\store\reducers\tabbar.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 5, 22
"e:\taroDemos\cloudmate\src\store\reducers\user-state.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 5, 29
"e:\taroDemos\cloudmate\src\store\selectors\attandence.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 10
"e:\taroDemos\cloudmate\src\store\selectors\auth.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 4
"e:\taroDemos\cloudmate\src\store\selectors\tabbar.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 4
"e:\taroDemos\cloudmate\src\style\index.scss", "SCSS", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"e:\taroDemos\cloudmate\src\types\attendance.d.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 4, 11
"e:\taroDemos\cloudmate\src\types\auth.d.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"e:\taroDemos\cloudmate\src\utils\navigate.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"e:\taroDemos\cloudmate\src\utils\object.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"e:\taroDemos\cloudmate\tsconfig.json", "JSON with Comments", 0, 24, 0, 0, 0, 0, 0, 0, 0, 7, 0, 31
"e:\taroDemos\cloudmate\types\global.d.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 8, 5, 30
"e:\taroDemos\cloudmate\types\request.d.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"e:\taroDemos\cloudmate\yarn-error.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 11413, 0, 1713, 13126
"Total", "-", 235, 24, 526, 770, 17, 368, 17, 34, 11413, 72, 2024, 15500